Partial Array Size, Num Uncov Int, Num Edges
6310,4944,9269536
6315,4593,8018020
6315,4657,8243012
6315,5134,9973553
6315,5046,9662973
6315,4736,8545502
6315,5328,10754799
6315,4900,9115957
6315,4613,8085355
6315,5007,9514414
6315,4717,8408550
6320,4713,8426422
6320,4991,9457926
6320,4827,8844860
6320,4725,8439775
6320,4395,7343730
6320,5148,10006766
6320,4758,8605365
6320,5003,9510255
6320,4727,8492851
6320,5013,9536984
6325,4457,7557138
6325,4902,9111295
6325,4795,8710455
6325,4664,8265707
6325,4782,8661112
6325,4880,9030169
6325,4655,8231850
6325,5152,10086229
6325,4894,9056112
6325,4756,8589660
6330,4926,9164096
6330,4313,7057243
6330,4436,7455244
6330,5004,9503463
6330,4937,9229670
6330,4816,8801225
6330,4792,8718261
6330,4915,9171340
6330,4747,8532046
6330,4573,7946622
6335,4547,7845182
6335,4926,9220973
6335,4979,9396762
6335,4858,8941043
6335,4918,9147597
6335,4610,8037645
6335,4881,9014232
6335,5067,9701448
6335,4628,8138299
6335,4894,9102633
6340,4575,7947894
6340,4813,8790609
6340,4650,8220998
6340,4847,8925101
6340,4786,8692463
6340,4722,8456543
6340,4736,8532215
6340,4776,8620611
6340,4825,8820151
6340,4840,8856901
6345,4726,8489449
6345,4274,6953298
6345,4560,7895189
6345,4382,7294526
6345,4409,7383182
6345,4798,8715128
6345,4461,7563994
6345,4609,8092336
6345,4420,7426853
6345,4774,8639366
6350,4591,8003250
6350,4495,7650240
6350,4826,8818438
6350,4568,7924655
6350,4523,7771711
6350,4471,7568073
6350,4783,8674248
6350,4394,7349892
6350,4465,7581523
6350,4574,7935345
6355,4532,7788048
6355,4697,8380850
6355,4770,8611049
6355,4777,8647245
6355,4451,7517171
6355,4429,7440032
6355,4664,8242632
6355,4944,9272999
6355,5082,9764566
6355,4611,8058865
6360,4719,8456360
6360,4732,8510371
6360,4602,8029674
6360,4433,7465524
6360,4314,7080434
6360,4409,7382802
6360,4865,8979775
6360,4641,8170833
6360,4502,7703123
6360,4406,7361471
6365,4501,7691353
6365,4476,7600354
6365,4937,9250209
6365,4731,8491593
6365,4588,7980819
6365,4789,8695350
6365,4558,7887142
6365,4676,8288172
6365,4561,7882050
6365,4446,7506189
6370,4654,8210733
6370,4339,7157512
6370,4508,7706540
6370,4560,7910563
6370,4622,8085503
6370,4560,7883412
6370,4636,8144658
6370,4638,8145283
6370,4764,8564097
6370,4513,7723340
6375,4467,7551094
6375,4366,7233169
6375,4438,7459873
6375,4474,7595416
6375,4666,8253779
6375,4196,6698597
6375,4617,8086437
6375,4521,7765385
6375,4485,7633313
6375,4329,7110953
6380,4442,7469306
6380,4716,8409582
6380,4399,7352757
6380,4602,8017583
6380,4518,7740904
6380,4232,6801363
6380,4548,7827990
